
Gurobi 9.1.2 (win64, Java) logging started Sun Dec 19 02:25:28 2021

Academic license - for non-commercial use only - expires 2022-09-02
Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 8269650 rows, 2250 columns and 24810750 nonzeros
Model fingerprint: 0x3daf47ae
Variable types: 0 continuous, 2250 integer (2250 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 9.0000000
Presolve removed 0 rows and 0 columns (presolve time = 11s) ...
Presolve removed 0 rows and 0 columns (presolve time = 32s) ...
Presolve removed 0 rows and 0 columns (presolve time = 48s) ...
Presolve time: 48.25s
Presolved: 8269650 rows, 2250 columns, 24810750 nonzeros
Variable types: 0 continuous, 2250 integer (2250 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
 1844809    8.4025543e+01   0.000000e+00   6.119081e+06   1285s
 1853389    8.3995646e+01   0.000000e+00   9.585311e+06   1290s
 1861542    8.3963731e+01   0.000000e+00   6.919421e+06   1295s
 1868835    8.3943374e+01   0.000000e+00   2.829368e+06   1300s
 1876986    8.3914190e+01   0.000000e+00   3.698891e+07   1305s
 1885137    8.3896102e+01   0.000000e+00   9.708788e+06   1310s
 1892859    8.3870587e+01   0.000000e+00   1.841236e+07   1315s
 1900581    8.3827914e+01   0.000000e+00   5.822392e+06   1320s
 1908732    8.3802322e+01   0.000000e+00   3.407082e+07   1325s
 1916454    8.3778531e+01   0.000000e+00   1.003197e+07   1330s
 1923318    8.3724223e+01   0.000000e+00   6.659177e+06   1335s
 1931469    8.3704269e+01   0.000000e+00   9.235165e+06   1340s
 1939191    8.3676943e+01   0.000000e+00   2.406957e+07   1345s
 1947342    8.3641851e+01   0.000000e+00   1.716857e+07   1350s
 1955922    8.3611352e+01   0.000000e+00   2.205299e+07   1355s
 1963648    8.3581689e+01   0.000000e+00   1.258835e+07   1360s
 1971799    8.3539968e+01   0.000000e+00   1.079312e+07   1365s
 1979950    8.3487965e+01   0.000000e+00   8.357072e+06   1370s
 1987672    8.3445871e+01   0.000000e+00   4.464249e+06   1375s
 1995823    8.3390738e+01   0.000000e+00   3.110886e+08   1380s
 2004403    8.3331089e+01   0.000000e+00   8.797800e+07   1385s
